PARK,Fields,Club,Location address 1,Alternative address #2,,,Location Map,Field Map,,,,
La Crosse/Field for Kids,8,WI Rush WEST,"Field for Kids, 2500 Hauser St., La Crosse, WI 54601",,,,,,,,,
Lake Forest Academy,#1,Chicago Magic,,,,,,,,,,
Lake Geneva HS LG HS (Badger HS),,Lakers SC,"220 E South St, ",Lake Geneva,WI,54147,"https://www.google.com/maps/dir//lake+geneva+HS/@42.9489212,-88.8390959,9z/data=!4m8!4m7!1m0!1m5!1m1!1s0x88058a363d3ce3b7:0xf52594d2aaf374ef!2m2!1d-88.4209004!2d42.5734371",,,,,
Lawrence Central High School:  ,,,,,,,,,,,,
Lawrence Community Park,Field #1,FC Pride,"
5301 N Franklin Rd,,  Indianapolis, IN 46226",,,,,,,,,
Libertyville Soccer Complex,Field Map,Libertyville FC,"30080 Technology Way, ",Libertyville,IL,60048,"https://www.google.com/maps/dir//libertyville+soccer+complex/@42.7987645,-88.6108113,9z/data=!4m8!4m7!1m0!1m5!1m1!1s0x880f90b35e38f395:0xc1ce4ee6f84c37bd!2m2!1d-87.9973618!2d42.3000335",,,,,
Lions Park,,SC Wave NB,"14900 W Overland Trail,",New Berlin,WI,53151,"https://www.google.com/maps/dir//Lions+Park/@42.9999523,-88.0979381,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x880508a8b115b241:0xc497e5f1478dfab6!2m2!1d-88.0979599!2d42.9997184",,,,,
Longfellow MS,,,7600 W North Ave,Wauwatosa,WI,53213,"https://www.google.com/maps/dir//Longfellow+Middle+School,+7600+W+North+Ave,+Wauwatosa,+WI+53213/@43.0622234,-88.0503642,13z/data=!4m9!4m8!1m0!1m5!1m1!1s0x88051b4a0f66e1d9:0xb2118b5720773806!2m2!1d-88.009079!2d43.0622308!3e0?entry=ttu",,,,,
Lowell Park,,,,,,,,,,,,
Lou Fusa Athlietic Complex,,,"2155 Creve Coeur Mill Rd,St. Louis, MO 63146",St Louis,MO,63146,"https://www.google.com/maps/dir//Lou+Fusz+Soccer+Club,+2155+Creve+Coeur+Mill+Rd,+St.+Louis,+MO+63146/@38.6968044,-90.4926675,15z/data=!4m8!4m7!1m0!1m5!1m1!1s0x87df2c59ee4fce1d:0xb416f50a4a7b499d!2m2!1d-90.498388!2d38.6977731",,,,,
LUXEMBURG-CASCO SPORTS COMPLEX,Luxemburg-Casco Sports Complex,318 N Main St,"318 N Main St, Luxemburg, WI",WI,,,54217,"<p>https://www.google.com/maps/place/Luxemburg-Casco+Sports+Complex/@44.5477872,-87.7063036,17z/data=!3m1!4b1!4m5!3m4!1s0x8802c5671a75efa5:0x967b908a9ae83e67!8m2!3d44.5477872!4d-87.7041149</p>
 
 �",,,,
